"","homocigoto","tipo_variante","cuantos_homo_tipo","gen","cuantos_homo_tipo_gen","conf","soporte_homo_tipo"
"160",0,"nonsynonymous SNV",146716,"ADAM33",35,0.00023855612203168,0.182510281410861
"161",0,"nonsynonymous SNV",146716,"ADAM7",81,0.000552087025273317,0.182510281410861
"162",0,"nonsynonymous SNV",146716,"ADAMTS10",16,0.000109054227214482,0.182510281410861
"163",0,"nonsynonymous SNV",146716,"ADAMTS13",57,0.000388505684451594,0.182510281410861
"164",0,"nonsynonymous SNV",146716,"ADAMTS16",291,0.0019834237574634,0.182510281410861
"165",0,"nonsynonymous SNV",146716,"ADAMTS17",118,0.000804274925706808,0.182510281410861
"166",0,"nonsynonymous SNV",146716,"ADAMTS18",186,0.00126775539136836,0.182510281410861
"167",0,"nonsynonymous SNV",146716,"ADAMTS2",85,0.000579350582076938,0.182510281410861
"168",0,"nonsynonymous SNV",146716,"ADAMTSL2",1,6.81588920090515e-06,0.182510281410861
"169",0,"nonsynonymous SNV",146716,"ADAMTSL3",292,0.0019902396466643,0.182510281410861
"170",0,"nonsynonymous SNV",146716,"ADAMTSL4",133,0.000906513263720385,0.182510281410861
"171",0,"nonsynonymous SNV",146716,"ADAR",83,0.000565718803675127,0.182510281410861
"172",0,"nonsynonymous SNV",146716,"ADARB1",33,0.00022492434362987,0.182510281410861
"173",0,"nonsynonymous SNV",146716,"ADCK3",1,6.81588920090515e-06,0.182510281410861
"174",0,"nonsynonymous SNV",146716,"ADCY10",16,0.000109054227214482,0.182510281410861
"175",0,"nonsynonymous SNV",146716,"ADCY3",92,0.000627061806483274,0.182510281410861
"176",0,"nonsynonymous SNV",146716,"ADCY6",6,4.08953352054309e-05,0.182510281410861
"177",0,"nonsynonymous SNV",146716,"ADCY9",46,0.000313530903241637,0.182510281410861
"178",0,"nonsynonymous SNV",146716,"ADD1",63,0.000429401019657024,0.182510281410861
"179",0,"nonsynonymous SNV",146716,"ADGRG1",153,0.00104283104773849,0.182510281410861
"180",0,"nonsynonymous SNV",146716,"ADGRV1",442,0.00301262302680008,0.182510281410861
"181",0,"nonsynonymous SNV",146716,"ADH1B",4,2.72635568036206e-05,0.182510281410861
"182",0,"nonsynonymous SNV",146716,"ADH4",4,2.72635568036206e-05,0.182510281410861
"183",0,"nonsynonymous SNV",146716,"ADH5",2,1.36317784018103e-05,0.182510281410861
"184",0,"nonsynonymous SNV",146716,"ADH7",5,3.40794460045257e-05,0.182510281410861
"185",0,"nonsynonymous SNV",146716,"ADIPOQ",4,2.72635568036206e-05,0.182510281410861
"186",0,"nonsynonymous SNV",146716,"ADM",1,6.81588920090515e-06,0.182510281410861
"187",0,"nonsynonymous SNV",146716,"ADNP",2,1.36317784018103e-05,0.182510281410861
"188",0,"nonsynonymous SNV",146716,"ADORA2A",5,3.40794460045257e-05,0.182510281410861
"189",0,"nonsynonymous SNV",146716,"ADORA3",33,0.00022492434362987,0.182510281410861
"190",0,"nonsynonymous SNV",146716,"ADORA3,TMIGD3",1,6.81588920090515e-06,0.182510281410861
"191",0,"nonsynonymous SNV",146716,"ADRA1A",119,0.000811090814907713,0.182510281410861
"192",0,"nonsynonymous SNV",146716,"ADRA2B",12,8.17906704108618e-05,0.182510281410861
"193",0,"nonsynonymous SNV",146716,"ADRA2C",1,6.81588920090515e-06,0.182510281410861
"194",0,"nonsynonymous SNV",146716,"ADRB1",1,6.81588920090515e-06,0.182510281410861
"195",0,"nonsynonymous SNV",146716,"ADRB2",33,0.00022492434362987,0.182510281410861
"196",0,"nonsynonymous SNV",146716,"AFF2",2,1.36317784018103e-05,0.182510281410861
"197",0,"nonsynonymous SNV",146716,"AFF3",30,0.000204476676027155,0.182510281410861
"198",0,"nonsynonymous SNV",146716,"AFP",2,1.36317784018103e-05,0.182510281410861
"199",0,"nonsynonymous SNV",146716,"AGA",6,4.08953352054309e-05,0.182510281410861
"200",0,"nonsynonymous SNV",146716,"AGBL4",6,4.08953352054309e-05,0.182510281410861
"201",0,"nonsynonymous SNV",146716,"AGGF1",7,4.7711224406336e-05,0.182510281410861
"202",0,"nonsynonymous SNV",146716,"AGK",1,6.81588920090515e-06,0.182510281410861
"203",0,"nonsynonymous SNV",146716,"AGL",7,4.7711224406336e-05,0.182510281410861
"204",0,"nonsynonymous SNV",146716,"AGMO",1,6.81588920090515e-06,0.182510281410861
"205",0,"nonsynonymous SNV",146716,"AGPS",2,1.36317784018103e-05,0.182510281410861
"206",0,"nonsynonymous SNV",146716,"AGRN",27,0.000184029008424439,0.182510281410861
"207",0,"nonsynonymous SNV",146716,"AGRP",9,6.13430028081463e-05,0.182510281410861
"208",0,"nonsynonymous SNV",146716,"AGT",132,0.00089969737451948,0.182510281410861
"209",0,"nonsynonymous SNV",146716,"AGTR1",1,6.81588920090515e-06,0.182510281410861
"210",0,"nonsynonymous SNV",146716,"AGTR2",6,4.08953352054309e-05,0.182510281410861
"211",0,"nonsynonymous SNV",146716,"AGXT",36,0.000245372011232585,0.182510281410861
"212",0,"nonsynonymous SNV",146716,"AGXT2",73,0.000497559911666076,0.182510281410861
"213",0,"nonsynonymous SNV",146716,"AHCY",10,6.81588920090515e-05,0.182510281410861
"214",0,"nonsynonymous SNV",146716,"AHI1",1,6.81588920090515e-06,0.182510281410861
